recall,precision
1.000000000000000000e+00,5.657978385251112297e-01
9.921348314606741603e-01,6.244695898161244374e-01
9.921348314606741603e-01,6.249115357395612635e-01
9.910112359550561356e-01,6.246458923512747674e-01
9.910112359550561356e-01,6.250885896527285102e-01
9.910112359550561356e-01,6.255319148936170359e-01
9.910112359550561356e-01,6.259758694109297528e-01
9.910112359550561356e-01,6.264204545454545858e-01
9.910112359550561356e-01,6.268656716417910779e-01
9.910112359550561356e-01,6.273115220483641563e-01
9.910112359550561356e-01,6.277580071174376775e-01
9.910112359550561356e-01,6.282051282051281937e-01
9.910112359550561356e-01,6.286528866714183872e-01
9.910112359550561356e-01,6.291012838801711693e-01
9.910112359550561356e-01,6.295503211991434478e-01
9.910112359550561356e-01,6.300000000000000044e-01
9.910112359550561356e-01,6.304503216583273728e-01
9.910112359550561356e-01,6.309012875536480491e-01
9.910112359550561356e-01,6.313528990694344811e-01
9.910112359550561356e-01,6.318051575931231678e-01
9.898876404494382220e-01,6.315412186379928405e-01
9.898876404494382220e-01,6.319942611190817461e-01
9.898876404494382220e-01,6.324479540559942992e-01
9.898876404494382220e-01,6.329022988505746961e-01
9.898876404494382220e-01,6.333572969086987969e-01
9.898876404494382220e-01,6.338129496402877816e-01
9.898876404494382220e-01,6.342692584593232485e-01
9.898876404494382220e-01,6.347262247838616478e-01
9.898876404494382220e-01,6.351838500360490469e-01
9.898876404494382220e-01,6.356421356421356750e-01
9.898876404494382220e-01,6.361010830324910215e-01
9.898876404494382220e-01,6.365606936416184913e-01
9.898876404494382220e-01,6.370209689081706150e-01
9.887640449438201973e-01,6.367583212735166143e-01
9.887640449438201973e-01,6.372194062273714987e-01
9.887640449438201973e-01,6.376811594202898004e-01
9.887640449438201973e-01,6.381435823060188639e-01
9.887640449438201973e-01,6.386066763425254367e-01
9.887640449438201973e-01,6.390704429920116558e-01
9.887640449438201973e-01,6.395348837209302584e-01
9.887640449438201973e-01,6.400000000000000133e-01
9.887640449438201973e-01,6.404657933042212647e-01
9.887640449438201973e-01,6.409322651128914750e-01
9.887640449438201973e-01,6.413994169096209896e-01
9.876404494382022836e-01,6.411378555798686874e-01
9.865168539325842589e-01,6.408759124087590742e-01
9.865168539325842589e-01,6.413440467494521124e-01
9.865168539325842589e-01,6.418128654970760572e-01
9.865168539325842589e-01,6.422823701536211072e-01
9.865168539325842589e-01,6.427525622254758320e-01
9.853932584269663453e-01,6.424908424908425397e-01
9.853932584269663453e-01,6.429618768328445588e-01
9.853932584269663453e-01,6.434336023477622568e-01
9.842696629213483206e-01,6.431718061674008835e-01
9.842696629213483206e-01,6.436443791329904407e-01
9.842696629213483206e-01,6.441176470588235725e-01
9.842696629213483206e-01,6.445916114790286588e-01
9.831460674157302959e-01,6.443298969072165372e-01
9.820224719101123823e-01,6.440677966101694407e-01
9.820224719101123823e-01,6.445427728613569718e-01
9.808988764044943576e-01,6.442804428044280884e-01
9.808988764044943576e-01,6.447562776957164177e-01
9.797752808988764439e-01,6.444937176644494059e-01
