fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,1.123595505617977627e-03,1.000000000000000000e+00
0.000000000000000000e+00,4.943820224719101125e-02,9.931122660636901855e-01
1.464128843338213803e-03,4.943820224719101125e-02,9.930682182312011719e-01
1.464128843338213803e-03,8.426966292134831227e-02,9.900881648063659668e-01
2.928257686676427607e-03,8.426966292134831227e-02,9.900750517845153809e-01
2.928257686676427607e-03,9.213483146067415197e-02,9.894081354141235352e-01
4.392386530014641410e-03,9.213483146067415197e-02,9.892891645431518555e-01
4.392386530014641410e-03,1.179775280898876372e-01,9.867357611656188965e-01
5.856515373352855214e-03,1.179775280898876372e-01,9.867150187492370605e-01
5.856515373352855214e-03,1.584269662921348187e-01,9.839170575141906738e-01
7.320644216691069017e-03,1.584269662921348187e-01,9.837867617607116699e-01
7.320644216691069017e-03,1.719101123595505598e-01,9.830228090286254883e-01
7.320644216691069017e-03,1.741573033707865259e-01,9.830128550529479980e-01
7.320644216691069017e-03,2.000000000000000111e-01,9.812788963317871094e-01
7.320644216691069017e-03,2.022471910112359494e-01,9.812476038932800293e-01
7.320644216691069017e-03,2.089887640449438200e-01,9.807648658752441406e-01
1.024890190336749662e-02,2.089887640449438200e-01,9.802834987640380859e-01
1.024890190336749662e-02,2.460674157303370801e-01,9.784972667694091797e-01
1.171303074670571043e-02,2.460674157303370801e-01,9.784666895866394043e-01
1.171303074670571043e-02,2.505617977528090123e-01,9.783758521080017090e-01
1.317715959004392423e-02,2.505617977528090123e-01,9.782918095588684082e-01
1.317715959004392423e-02,2.674157303370786609e-01,9.771821498870849609e-01
1.464128843338213803e-02,2.674157303370786609e-01,9.770784378051757812e-01
1.464128843338213803e-02,2.685393258426966301e-01,9.770410656929016113e-01
1.610541727672035184e-02,2.685393258426966301e-01,9.769796729087829590e-01
1.610541727672035184e-02,2.696629213483145993e-01,9.769186377525329590e-01
1.756954612005856564e-02,2.696629213483145993e-01,9.768894910812377930e-01
1.756954612005856564e-02,2.820224719101123712e-01,9.762610197067260742e-01
1.903367496339677944e-02,2.820224719101123712e-01,9.762512445449829102e-01
1.903367496339677944e-02,2.865168539325842478e-01,9.760630726814270020e-01
2.049780380673499325e-02,2.865168539325842478e-01,9.759982824325561523e-01
2.049780380673499325e-02,2.932584269662921184e-01,9.754255414009094238e-01
2.196193265007320705e-02,2.932584269662921184e-01,9.752619266510009766e-01
2.196193265007320705e-02,2.943820224719100875e-01,9.752037525177001953e-01
2.342606149341142086e-02,2.943820224719100875e-01,9.749947786331176758e-01
2.342606149341142086e-02,3.011235955056179581e-01,9.746729135513305664e-01
2.489019033674963466e-02,3.011235955056179581e-01,9.745921492576599121e-01
2.489019033674963466e-02,3.078651685393258286e-01,9.742180705070495605e-01
2.635431918008784846e-02,3.078651685393258286e-01,9.742055535316467285e-01
2.635431918008784846e-02,3.157303370786516683e-01,9.737185239791870117e-01
2.781844802342606227e-02,3.157303370786516683e-01,9.736762046813964844e-01
2.781844802342606227e-02,3.292134831460674094e-01,9.729627966880798340e-01
2.928257686676427607e-02,3.292134831460674094e-01,9.729195833206176758e-01
2.928257686676427607e-02,3.325842696629213724e-01,9.727045297622680664e-01
3.074670571010248987e-02,3.325842696629213724e-01,9.725952744483947754e-01
3.074670571010248987e-02,3.337078651685393416e-01,9.725859761238098145e-01
3.221083455344070368e-02,3.337078651685393416e-01,9.724441170692443848e-01
3.221083455344070368e-02,3.370786516853932491e-01,9.722639918327331543e-01
3.367496339677891748e-02,3.370786516853932491e-01,9.722470045089721680e-01
3.367496339677891748e-02,3.573033707865168607e-01,9.710487127304077148e-01
3.660322108345534509e-02,3.573033707865168607e-01,9.709953665733337402e-01
3.660322108345534509e-02,3.584269662921348298e-01,9.709252119064331055e-01
3.806734992679355889e-02,3.584269662921348298e-01,9.709234237670898438e-01
3.806734992679355889e-02,3.629213483146067620e-01,9.707579016685485840e-01
3.953147877013177269e-02,3.629213483146067620e-01,9.706498384475708008e-01
