fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,1.123595505617977627e-03,9.999998807907104492e-01
0.000000000000000000e+00,1.797752808988764203e-02,9.999675750732421875e-01
0.000000000000000000e+00,2.022471910112359425e-02,9.999666213989257812e-01
0.000000000000000000e+00,4.831460674157303514e-02,9.999247193336486816e-01
0.000000000000000000e+00,5.056179775280898736e-02,9.999245405197143555e-01
0.000000000000000000e+00,8.314606741573034310e-02,9.998904466629028320e-01
0.000000000000000000e+00,8.539325842696629532e-02,9.998899698257446289e-01
0.000000000000000000e+00,1.471910112359550438e-01,9.998046159744262695e-01
1.464128843338213803e-03,1.471910112359550438e-01,9.998018741607666016e-01
1.464128843338213803e-03,2.022471910112359494e-01,9.997425675392150879e-01
2.928257686676427607e-03,2.022471910112359494e-01,9.997407197952270508e-01
2.928257686676427607e-03,2.202247191011235949e-01,9.997168779373168945e-01
2.928257686676427607e-03,2.224719101123595610e-01,9.997128248214721680e-01
2.928257686676427607e-03,2.235955056179775302e-01,9.997122287750244141e-01
2.928257686676427607e-03,2.258426966292134963e-01,9.997119307518005371e-01
2.928257686676427607e-03,2.393258426966292096e-01,9.996976852416992188e-01
2.928257686676427607e-03,2.415730337078651757e-01,9.996963143348693848e-01
2.928257686676427607e-03,2.516853932584269815e-01,9.996746778488159180e-01
4.392386530014641410e-03,2.516853932584269815e-01,9.996744394302368164e-01
4.392386530014641410e-03,2.584269662921348520e-01,9.996569752693176270e-01
5.856515373352855214e-03,2.584269662921348520e-01,9.996567368507385254e-01
5.856515373352855214e-03,2.741573033707865314e-01,9.996348619461059570e-01
7.320644216691069017e-03,2.741573033707865314e-01,9.996324181556701660e-01
7.320644216691069017e-03,2.820224719101123712e-01,9.996236562728881836e-01
8.784773060029282821e-03,2.820224719101123712e-01,9.996230602264404297e-01
8.784773060029282821e-03,2.876404494382022725e-01,9.996104836463928223e-01
1.024890190336749662e-02,2.876404494382022725e-01,9.996091127395629883e-01
1.024890190336749662e-02,3.033707865168539519e-01,9.995841383934020996e-01
1.024890190336749662e-02,3.056179775280898903e-01,9.995840787887573242e-01
1.024890190336749662e-02,3.067415730337078594e-01,9.995833635330200195e-01
1.171303074670571043e-02,3.067415730337078594e-01,9.995805621147155762e-01
1.171303074670571043e-02,3.213483146067415697e-01,9.995385408401489258e-01
1.317715959004392423e-02,3.213483146067415697e-01,9.995369911193847656e-01
1.317715959004392423e-02,3.303370786516853785e-01,9.995248913764953613e-01
1.464128843338213803e-02,3.303370786516853785e-01,9.995246529579162598e-01
1.464128843338213803e-02,3.370786516853932491e-01,9.995162487030029297e-01
1.756954612005856564e-02,3.370786516853932491e-01,9.995107650756835938e-01
1.756954612005856564e-02,3.629213483146067620e-01,9.994442462921142578e-01
1.903367496339677944e-02,3.629213483146067620e-01,9.994421005249023438e-01
1.903367496339677944e-02,3.696629213483146326e-01,9.994239211082458496e-01
2.049780380673499325e-02,3.696629213483146326e-01,9.994181990623474121e-01
2.049780380673499325e-02,3.719101123595505709e-01,9.994122385978698730e-01
2.196193265007320705e-02,3.719101123595505709e-01,9.994076490402221680e-01
2.196193265007320705e-02,3.764044943820224476e-01,9.993937611579895020e-01
2.342606149341142086e-02,3.764044943820224476e-01,9.993936419486999512e-01
2.342606149341142086e-02,3.910112359550561578e-01,9.993743896484375000e-01
2.489019033674963466e-02,3.910112359550561578e-01,9.993722438812255859e-01
2.489019033674963466e-02,4.044943820224718989e-01,9.993311166763305664e-01
2.635431918008784846e-02,4.044943820224718989e-01,9.993304610252380371e-01
2.635431918008784846e-02,4.078651685393258619e-01,9.993274807929992676e-01
2.781844802342606227e-02,4.078651685393258619e-01,9.993247389793395996e-01
2.781844802342606227e-02,4.123595505617977386e-01,9.993224143981933594e-01
2.928257686676427607e-02,4.123595505617977386e-01,9.993175268173217773e-01
2.928257686676427607e-02,4.134831460674157078e-01,9.993110299110412598e-01
3.221083455344070368e-02,4.134831460674157078e-01,9.993088245391845703e-01
3.221083455344070368e-02,4.191011235955056091e-01,9.992946982383728027e-01
3.367496339677891748e-02,4.191011235955056091e-01,9.992941617965698242e-01
3.367496339677891748e-02,4.280898876404494180e-01,9.992682337760925293e-01
