fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,1.123595505617977627e-03,9.999999403953552246e-01
0.000000000000000000e+00,1.011235955056179713e-02,9.996762871742248535e-01
0.000000000000000000e+00,1.235955056179775281e-02,9.996736645698547363e-01
0.000000000000000000e+00,4.719101123595505903e-02,9.989089965820312500e-01
1.464128843338213803e-03,4.719101123595505903e-02,9.989023804664611816e-01
1.464128843338213803e-03,7.191011235955056813e-02,9.984176754951477051e-01
2.928257686676427607e-03,7.191011235955056813e-02,9.984084963798522949e-01
2.928257686676427607e-03,1.370786516853932657e-01,9.969997406005859375e-01
4.392386530014641410e-03,1.370786516853932657e-01,9.969951510429382324e-01
4.392386530014641410e-03,1.550561797752809112e-01,9.966413378715515137e-01
5.856515373352855214e-03,1.550561797752809112e-01,9.966105818748474121e-01
5.856515373352855214e-03,2.146067415730337213e-01,9.954490065574645996e-01
5.856515373352855214e-03,2.168539325842696597e-01,9.954314231872558594e-01
5.856515373352855214e-03,2.404494382022471788e-01,9.950078129768371582e-01
7.320644216691069017e-03,2.404494382022471788e-01,9.949997663497924805e-01
7.320644216691069017e-03,2.516853932584269815e-01,9.945949912071228027e-01
8.784773060029282821e-03,2.516853932584269815e-01,9.945940971374511719e-01
8.784773060029282821e-03,2.629213483146067287e-01,9.943300485610961914e-01
1.024890190336749662e-02,2.629213483146067287e-01,9.943182468414306641e-01
1.024890190336749662e-02,2.707865168539325684e-01,9.940398931503295898e-01
1.171303074670571043e-02,2.707865168539325684e-01,9.939188957214355469e-01
1.171303074670571043e-02,2.999999999999999889e-01,9.934338927268981934e-01
1.317715959004392423e-02,2.999999999999999889e-01,9.933733940124511719e-01
1.317715959004392423e-02,3.089887640449437978e-01,9.932086467742919922e-01
1.464128843338213803e-02,3.089887640449437978e-01,9.932080507278442383e-01
1.464128843338213803e-02,3.337078651685393416e-01,9.925476908683776855e-01
1.756954612005856564e-02,3.337078651685393416e-01,9.924951791763305664e-01
1.756954612005856564e-02,3.550561797752809223e-01,9.919776320457458496e-01
1.903367496339677944e-02,3.550561797752809223e-01,9.919745326042175293e-01
1.903367496339677944e-02,3.662921348314606695e-01,9.918264150619506836e-01
1.903367496339677944e-02,3.685393258426966079e-01,9.918030500411987305e-01
1.903367496339677944e-02,3.820224719101123489e-01,9.914522171020507812e-01
2.049780380673499325e-02,3.820224719101123489e-01,9.914425015449523926e-01
2.049780380673499325e-02,3.955056179775280900e-01,9.910513162612915039e-01
2.196193265007320705e-02,3.955056179775280900e-01,9.910298585891723633e-01
2.196193265007320705e-02,4.022471910112359605e-01,9.909018874168395996e-01
2.342606149341142086e-02,4.022471910112359605e-01,9.908994436264038086e-01
2.342606149341142086e-02,4.067415730337078927e-01,9.907559156417846680e-01
2.489019033674963466e-02,4.067415730337078927e-01,9.907498955726623535e-01
2.489019033674963466e-02,4.134831460674157078e-01,9.906923770904541016e-01
2.635431918008784846e-02,4.134831460674157078e-01,9.906078577041625977e-01
2.635431918008784846e-02,4.292134831460674427e-01,9.900509715080261230e-01
2.781844802342606227e-02,4.292134831460674427e-01,9.900227189064025879e-01
2.781844802342606227e-02,4.303370786516854118e-01,9.900035858154296875e-01
3.074670571010248987e-02,4.303370786516854118e-01,9.899920821189880371e-01
3.074670571010248987e-02,4.393258426966292207e-01,9.898297190666198730e-01
3.221083455344070368e-02,4.393258426966292207e-01,9.897724390029907227e-01
3.221083455344070368e-02,4.426966292134831282e-01,9.895215630531311035e-01
3.367496339677891748e-02,4.426966292134831282e-01,9.894564747810363770e-01
3.367496339677891748e-02,4.674157303370786720e-01,9.888186454772949219e-01
3.513909224011713128e-02,4.674157303370786720e-01,9.888133406639099121e-01
3.513909224011713128e-02,4.741573033707865426e-01,9.885340332984924316e-01
3.660322108345534509e-02,4.741573033707865426e-01,9.884846806526184082e-01
3.660322108345534509e-02,4.853932584269662898e-01,9.879699349403381348e-01
3.806734992679355889e-02,4.853932584269662898e-01,9.878304600715637207e-01
3.806734992679355889e-02,4.921348314606741603e-01,9.876232743263244629e-01
3.953147877013177269e-02,4.921348314606741603e-01,9.875912070274353027e-01
3.953147877013177269e-02,4.955056179775280678e-01,9.874936342239379883e-01
4.245973645680820030e-02,4.955056179775280678e-01,9.874194860458374023e-01
4.245973645680820030e-02,4.988764044943820308e-01,9.873001575469970703e-01
4.392386530014641410e-02,4.988764044943820308e-01,9.872872233390808105e-01
4.392386530014641410e-02,5.078651685393258397e-01,9.870020151138305664e-01
4.538799414348462791e-02,5.078651685393258397e-01,9.869890809059143066e-01
4.538799414348462791e-02,5.202247191011235561e-01,9.865223169326782227e-01
4.685212298682284171e-02,5.202247191011235561e-01,9.865211248397827148e-01
4.685212298682284171e-02,5.325842696629213835e-01,9.860860705375671387e-01
4.978038067349926932e-02,5.325842696629213835e-01,9.860500097274780273e-01
4.978038067349926932e-02,5.359550561797752355e-01,9.859275817871093750e-01
5.270863836017569692e-02,5.359550561797752355e-01,9.858072400093078613e-01
5.270863836017569692e-02,5.404494382022472232e-01,9.856631159782409668e-01
5.417276720351391073e-02,5.404494382022472232e-01,9.855855107307434082e-01
5.417276720351391073e-02,5.505617977528090012e-01,9.853912591934204102e-01
5.563689604685212453e-02,5.505617977528090012e-01,9.853216409683227539e-01
5.563689604685212453e-02,5.662921348314606806e-01,9.846402406692504883e-01
6.002928257686676594e-02,5.662921348314606806e-01,9.845347404479980469e-01
6.002928257686676594e-02,5.696629213483146437e-01,9.844845533370971680e-01
6.149341142020497974e-02,5.696629213483146437e-01,9.843605756759643555e-01
6.149341142020497974e-02,5.741573033707865203e-01,9.842478632926940918e-01
6.295754026354319355e-02,5.741573033707865203e-01,9.842478036880493164e-01
6.295754026354319355e-02,5.775280898876404834e-01,9.839335680007934570e-01
6.442166910688140735e-02,5.775280898876404834e-01,9.838429093360900879e-01
6.442166910688140735e-02,5.797752808988764217e-01,9.838341474533081055e-01
6.588579795021962116e-02,5.797752808988764217e-01,9.837540984153747559e-01
6.588579795021962116e-02,5.820224719101123600e-01,9.836896061897277832e-01
6.734992679355783496e-02,5.820224719101123600e-01,9.836056828498840332e-01
6.734992679355783496e-02,5.842696629213482984e-01,9.834740161895751953e-01
6.881405563689604876e-02,5.842696629213482984e-01,9.834491014480590820e-01
6.881405563689604876e-02,5.853932584269663231e-01,9.834110736846923828e-01
7.027818448023426257e-02,5.853932584269663231e-01,9.833637475967407227e-01
7.027818448023426257e-02,5.932584269662921628e-01,9.829888343811035156e-01
7.320644216691069017e-02,5.932584269662921628e-01,9.827871322631835938e-01
7.320644216691069017e-02,5.955056179775281011e-01,9.827378988265991211e-01
7.467057101024890398e-02,5.955056179775281011e-01,9.826859235763549805e-01
7.467057101024890398e-02,5.999999999999999778e-01,9.826297760009765625e-01
7.759882869692533158e-02,5.999999999999999778e-01,9.823685884475708008e-01
7.759882869692533158e-02,6.089887640449438422e-01,9.821474552154541016e-01
7.906295754026354539e-02,6.089887640449438422e-01,9.820533990859985352e-01
7.906295754026354539e-02,6.123595505617978052e-01,9.819509387016296387e-01
8.052708638360175919e-02,6.123595505617978052e-01,9.819206595420837402e-01
8.052708638360175919e-02,6.157303370786516572e-01,9.816942214965820312e-01
8.199121522693997299e-02,6.157303370786516572e-01,9.816130995750427246e-01
8.199121522693997299e-02,6.202247191011236449e-01,9.812721014022827148e-01
8.345534407027818680e-02,6.202247191011236449e-01,9.812374114990234375e-01
8.345534407027818680e-02,6.213483146067415586e-01,9.812145233154296875e-01
8.638360175695461440e-02,6.213483146067415586e-01,9.811004400253295898e-01
8.638360175695461440e-02,6.224719101123595832e-01,9.809900522232055664e-01
8.784773060029282821e-02,6.224719101123595832e-01,9.808874726295471191e-01
8.784773060029282821e-02,6.235955056179774969e-01,9.808473587036132812e-01
8.931185944363104201e-02,6.235955056179774969e-01,9.808394908905029297e-01
8.931185944363104201e-02,6.247191011235955216e-01,9.807865619659423828e-01
9.077598828696925581e-02,6.247191011235955216e-01,9.807821512222290039e-01
9.077598828696925581e-02,6.370786516853932380e-01,9.800468683242797852e-01
9.224011713030746962e-02,6.370786516853932380e-01,9.800440669059753418e-01
