fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,1.123595505617977627e-03,9.999999403953552246e-01
0.000000000000000000e+00,1.011235955056179713e-02,9.991813302040100098e-01
1.464128843338213803e-03,1.011235955056179713e-02,9.991563558578491211e-01
1.464128843338213803e-03,5.056179775280898736e-02,9.957029223442077637e-01
2.928257686676427607e-03,5.056179775280898736e-02,9.956223368644714355e-01
2.928257686676427607e-03,7.191011235955056813e-02,9.946848750114440918e-01
5.856515373352855214e-03,7.191011235955056813e-02,9.946281909942626953e-01
5.856515373352855214e-03,7.640449438202247257e-02,9.945298433303833008e-01
7.320644216691069017e-03,7.640449438202247257e-02,9.945117235183715820e-01
7.320644216691069017e-03,7.752808988764045561e-02,9.944427609443664551e-01
1.024890190336749662e-02,7.752808988764045561e-02,9.943997859954833984e-01
1.024890190336749662e-02,7.865168539325842478e-02,9.943547248840332031e-01
1.171303074670571043e-02,7.865168539325842478e-02,9.943493604660034180e-01
1.171303074670571043e-02,9.101123595505618280e-02,9.938736557960510254e-01
1.317715959004392423e-02,9.101123595505618280e-02,9.938149452209472656e-01
1.317715959004392423e-02,9.887640449438202250e-02,9.935596585273742676e-01
1.464128843338213803e-02,9.887640449438202250e-02,9.935114979743957520e-01
1.464128843338213803e-02,1.011235955056179747e-01,9.934974908828735352e-01
1.464128843338213803e-02,1.033707865168539269e-01,9.934840202331542969e-01
1.610541727672035184e-02,1.033707865168539269e-01,9.934837222099304199e-01
1.610541727672035184e-02,1.044943820224719100e-01,9.934444427490234375e-01
1.756954612005856564e-02,1.044943820224719100e-01,9.934352040290832520e-01
1.756954612005856564e-02,1.067415730337078622e-01,9.930659532546997070e-01
1.903367496339677944e-02,1.067415730337078622e-01,9.930652379989624023e-01
1.903367496339677944e-02,1.078651685393258453e-01,9.930171370506286621e-01
2.049780380673499325e-02,1.078651685393258453e-01,9.929511547088623047e-01
2.049780380673499325e-02,1.089887640449438144e-01,9.929291605949401855e-01
2.196193265007320705e-02,1.089887640449438144e-01,9.929041266441345215e-01
2.196193265007320705e-02,1.101123595505617975e-01,9.928479194641113281e-01
2.342606149341142086e-02,1.101123595505617975e-01,9.928130507469177246e-01
2.342606149341142086e-02,1.224719101123595555e-01,9.923918247222900391e-01
2.635431918008784846e-02,1.224719101123595555e-01,9.923316836357116699e-01
2.635431918008784846e-02,1.292134831460674260e-01,9.921748638153076172e-01
2.781844802342606227e-02,1.292134831460674260e-01,9.921438694000244141e-01
2.781844802342606227e-02,1.325842696629213613e-01,9.918245673179626465e-01
3.221083455344070368e-02,1.325842696629213613e-01,9.915115237236022949e-01
3.221083455344070368e-02,1.393258426966292041e-01,9.911246895790100098e-01
3.367496339677891748e-02,1.393258426966292041e-01,9.909830093383789062e-01
3.367496339677891748e-02,1.539325842696629143e-01,9.903044104576110840e-01
3.513909224011713128e-02,1.539325842696629143e-01,9.902319312095642090e-01
3.513909224011713128e-02,1.561797752808988804e-01,9.901974201202392578e-01
3.806734992679355889e-02,1.561797752808988804e-01,9.899847507476806641e-01
3.806734992679355889e-02,1.595505617977528157e-01,9.898208379745483398e-01
3.953147877013177269e-02,1.595505617977528157e-01,9.897276163101196289e-01
3.953147877013177269e-02,1.662921348314606862e-01,9.893909692764282227e-01
4.099560761346998650e-02,1.662921348314606862e-01,9.893323183059692383e-01
4.099560761346998650e-02,1.764044943820224642e-01,9.890019893646240234e-01
4.538799414348462791e-02,1.764044943820224642e-01,9.888950586318969727e-01
4.538799414348462791e-02,1.775280898876404612e-01,9.888449907302856445e-01
4.685212298682284171e-02,1.775280898876404612e-01,9.887800216674804688e-01
4.685212298682284171e-02,1.797752808988763995e-01,9.881706237792968750e-01
4.831625183016105551e-02,1.797752808988763995e-01,9.881098270416259766e-01
4.831625183016105551e-02,1.842696629213483039e-01,9.879206418991088867e-01
4.978038067349926932e-02,1.842696629213483039e-01,9.879183173179626465e-01
4.978038067349926932e-02,1.887640449438202361e-01,9.877277016639709473e-01
5.124450951683748312e-02,1.887640449438202361e-01,9.876910448074340820e-01
5.124450951683748312e-02,1.910112359550561745e-01,9.876180291175842285e-01
5.270863836017569692e-02,1.910112359550561745e-01,9.875360131263732910e-01
5.270863836017569692e-02,1.955056179775280789e-01,9.874734282493591309e-01
5.417276720351391073e-02,1.955056179775280789e-01,9.872167110443115234e-01
5.417276720351391073e-02,1.977528089887640450e-01,9.871534705162048340e-01
5.563689604685212453e-02,1.977528089887640450e-01,9.871361851692199707e-01
5.563689604685212453e-02,2.011235955056179803e-01,9.869216680526733398e-01
5.710102489019033833e-02,2.011235955056179803e-01,9.868808984756469727e-01
5.710102489019033833e-02,2.022471910112359494e-01,9.868066906929016113e-01
5.856515373352855214e-02,2.022471910112359494e-01,9.868014454841613770e-01
5.856515373352855214e-02,2.089887640449438200e-01,9.865187406539916992e-01
6.002928257686676594e-02,2.089887640449438200e-01,9.863673448562622070e-01
6.002928257686676594e-02,2.112359550561797861e-01,9.863575696945190430e-01
6.002928257686676594e-02,2.123595505617977552e-01,9.861645102500915527e-01
6.149341142020497974e-02,2.123595505617977552e-01,9.860484004020690918e-01
6.149341142020497974e-02,2.157303370786516905e-01,9.859061241149902344e-01
6.295754026354319355e-02,2.157303370786516905e-01,9.858508706092834473e-01
6.295754026354319355e-02,2.179775280898876288e-01,9.856817722320556641e-01
6.442166910688140735e-02,2.179775280898876288e-01,9.856263995170593262e-01
6.442166910688140735e-02,2.258426966292134963e-01,9.855129122734069824e-01
6.588579795021962116e-02,2.258426966292134963e-01,9.854098558425903320e-01
6.588579795021962116e-02,2.303370786516854007e-01,9.853038191795349121e-01
6.734992679355783496e-02,2.303370786516854007e-01,9.852988123893737793e-01
6.734992679355783496e-02,2.314606741573033699e-01,9.851949214935302734e-01
6.881405563689604876e-02,2.314606741573033699e-01,9.851484298706054688e-01
6.881405563689604876e-02,2.415730337078651757e-01,9.846466779708862305e-01
7.174231332357247637e-02,2.415730337078651757e-01,9.845653772354125977e-01
7.174231332357247637e-02,2.449438202247191110e-01,9.843009114265441895e-01
7.320644216691069017e-02,2.449438202247191110e-01,9.842018485069274902e-01
7.320644216691069017e-02,2.516853932584269815e-01,9.836432337760925293e-01
7.467057101024890398e-02,2.516853932584269815e-01,9.835878610610961914e-01
7.467057101024890398e-02,2.550561797752808890e-01,9.833575487136840820e-01
7.759882869692533158e-02,2.550561797752808890e-01,9.832907915115356445e-01
7.759882869692533158e-02,2.595505617977528212e-01,9.831137657165527344e-01
8.052708638360175919e-02,2.595505617977528212e-01,9.829459190368652344e-01
8.052708638360175919e-02,2.617977528089887596e-01,9.827803373336791992e-01
8.199121522693997299e-02,2.617977528089887596e-01,9.827184677124023438e-01
8.199121522693997299e-02,2.629213483146067287e-01,9.827034473419189453e-01
8.199121522693997299e-02,2.651685393258427226e-01,9.825520515441894531e-01
8.199121522693997299e-02,2.696629213483145993e-01,9.822968244552612305e-01
8.345534407027818680e-02,2.696629213483145993e-01,9.822501540184020996e-01
8.345534407027818680e-02,2.730337078651685623e-01,9.820606112480163574e-01
8.491947291361640060e-02,2.730337078651685623e-01,9.820268750190734863e-01
8.491947291361640060e-02,2.775280898876404390e-01,9.818902015686035156e-01
8.638360175695461440e-02,2.775280898876404390e-01,9.818828105926513672e-01
8.638360175695461440e-02,2.786516853932584081e-01,9.818140268325805664e-01
8.784773060029282821e-02,2.786516853932584081e-01,9.818013310432434082e-01
8.784773060029282821e-02,2.887640449438202417e-01,9.813569784164428711e-01
8.931185944363104201e-02,2.887640449438202417e-01,9.812768697738647461e-01
8.931185944363104201e-02,2.898876404494382109e-01,9.812709093093872070e-01
9.077598828696925581e-02,2.898876404494382109e-01,9.812674522399902344e-01
9.077598828696925581e-02,2.955056179775281122e-01,9.810563325881958008e-01
9.370424597364568342e-02,2.955056179775281122e-01,9.807874560356140137e-01
9.370424597364568342e-02,2.966292134831460814e-01,9.807496666908264160e-01
9.663250366032211103e-02,2.966292134831460814e-01,9.807243943214416504e-01
9.663250366032211103e-02,2.999999999999999889e-01,9.804636240005493164e-01
1.010248901903367524e-01,2.999999999999999889e-01,9.803299307823181152e-01
