disease1,disease2,similarity,label
3.922000000000000000e+03,1.297000000000000000e+04,6.480651497840881348e-01,0.000000000000000000e+00
1.575000000000000000e+04,2.976100000000000000e+04,9.385393261909484863e-01,1.000000000000000000e+00
9.970000000000000000e+02,5.639000000000000000e+03,9.449810385704040527e-01,1.000000000000000000e+00
2.005400000000000000e+04,5.475000000000000000e+03,9.866122007369995117e-01,1.000000000000000000e+00
1.373800000000000000e+04,4.029000000000000000e+03,8.835276961326599121e-01,0.000000000000000000e+00
1.622500000000000000e+04,1.066100000000000000e+04,8.826160430908203125e-01,0.000000000000000000e+00
2.322500000000000000e+04,5.475000000000000000e+03,9.725574851036071777e-01,1.000000000000000000e+00
2.322500000000000000e+04,1.844200000000000000e+04,9.807639122009277344e-01,1.000000000000000000e+00
7.393000000000000000e+03,1.667800000000000000e+04,8.759030103683471680e-01,0.000000000000000000e+00
7.158000000000000000e+03,6.949000000000000000e+03,9.474672079086303711e-01,1.000000000000000000e+00
7.049000000000000000e+03,6.698000000000000000e+03,9.028639793395996094e-01,0.000000000000000000e+00
1.594600000000000000e+04,7.840000000000000000e+03,9.723798036575317383e-01,1.000000000000000000e+00
1.882000000000000000e+03,3.372000000000000000e+03,5.407848358154296875e-01,0.000000000000000000e+00
2.011600000000000000e+04,1.193300000000000000e+04,7.951325178146362305e-01,0.000000000000000000e+00
3.075000000000000000e+03,1.738400000000000000e+04,8.840905427932739258e-01,1.000000000000000000e+00
1.568800000000000000e+04,2.257400000000000000e+04,9.443392753601074219e-01,1.000000000000000000e+00
8.606000000000000000e+03,2.257400000000000000e+04,8.888956308364868164e-01,1.000000000000000000e+00
7.391000000000000000e+03,2.133400000000000000e+04,9.758040904998779297e-01,1.000000000000000000e+00
2.322500000000000000e+04,7.158000000000000000e+03,9.645465612411499023e-01,1.000000000000000000e+00
1.955100000000000000e+04,1.826000000000000000e+03,9.463782310485839844e-01,0.000000000000000000e+00
2.168000000000000000e+03,3.848000000000000000e+03,9.086479544639587402e-01,0.000000000000000000e+00
2.641700000000000000e+04,2.322500000000000000e+04,9.853233695030212402e-01,0.000000000000000000e+00
9.970000000000000000e+02,2.061900000000000000e+04,8.284479379653930664e-01,1.000000000000000000e+00
1.399100000000000000e+04,2.414400000000000000e+04,9.341987967491149902e-01,1.000000000000000000e+00
1.210200000000000000e+04,9.572000000000000000e+03,9.150531291961669922e-01,1.000000000000000000e+00
8.581000000000000000e+03,2.333300000000000000e+04,9.964431524276733398e-01,1.000000000000000000e+00
1.159200000000000000e+04,2.638600000000000000e+04,3.636815845966339111e-01,0.000000000000000000e+00
8.116000000000000000e+03,9.970000000000000000e+02,8.472065925598144531e-01,1.000000000000000000e+00
2.099900000000000000e+04,2.517400000000000000e+04,9.168573617935180664e-01,0.000000000000000000e+00
6.949000000000000000e+03,2.573500000000000000e+04,9.619930982589721680e-01,1.000000000000000000e+00
2.562600000000000000e+04,1.069000000000000000e+03,9.397807121276855469e-01,0.000000000000000000e+00
1.625400000000000000e+04,2.633100000000000000e+04,9.820944070816040039e-01,1.000000000000000000e+00
1.210200000000000000e+04,1.484900000000000000e+04,9.239778518676757812e-01,1.000000000000000000e+00
2.376000000000000000e+04,1.790700000000000000e+04,7.560138106346130371e-01,0.000000000000000000e+00
1.907900000000000000e+04,2.040000000000000000e+04,4.504143595695495605e-01,0.000000000000000000e+00
2.562800000000000000e+04,6.249000000000000000e+03,5.021885633468627930e-01,0.000000000000000000e+00
8.606000000000000000e+03,4.952000000000000000e+03,9.507319331169128418e-01,1.000000000000000000e+00
2.978200000000000000e+04,2.070100000000000000e+04,9.028936624526977539e-01,0.000000000000000000e+00
2.592900000000000000e+04,6.034000000000000000e+03,9.978858828544616699e-01,1.000000000000000000e+00
2.393200000000000000e+04,2.668600000000000000e+04,9.501504898071289062e-01,1.000000000000000000e+00
2.965000000000000000e+03,1.270900000000000000e+04,9.266821146011352539e-01,0.000000000000000000e+00
1.096400000000000000e+04,4.604000000000000000e+03,9.413593411445617676e-01,0.000000000000000000e+00
2.486000000000000000e+03,2.475700000000000000e+04,9.654395580291748047e-01,1.000000000000000000e+00
1.870000000000000000e+02,1.338000000000000000e+03,9.473438262939453125e-01,0.000000000000000000e+00
1.568800000000000000e+04,4.952000000000000000e+03,9.838991165161132812e-01,1.000000000000000000e+00
2.275900000000000000e+04,6.211000000000000000e+03,9.834111928939819336e-01,1.000000000000000000e+00
1.621600000000000000e+04,2.250200000000000000e+04,8.246207833290100098e-01,0.000000000000000000e+00
7.582000000000000000e+03,5.756000000000000000e+03,4.895921945571899414e-01,0.000000000000000000e+00
2.486000000000000000e+03,2.588900000000000000e+04,9.733335971832275391e-01,1.000000000000000000e+00
1.642400000000000000e+04,1.408200000000000000e+04,9.019421339035034180e-01,0.000000000000000000e+00
1.488200000000000000e+04,2.573500000000000000e+04,9.797764420509338379e-01,1.000000000000000000e+00
2.503500000000000000e+04,2.572400000000000000e+04,9.265126585960388184e-01,1.000000000000000000e+00
2.517700000000000000e+04,2.130100000000000000e+04,9.288941025733947754e-01,0.000000000000000000e+00
1.260000000000000000e+03,1.189200000000000000e+04,9.110869169235229492e-01,0.000000000000000000e+00
2.061900000000000000e+04,1.310800000000000000e+04,9.573749303817749023e-01,1.000000000000000000e+00
2.955500000000000000e+04,1.778500000000000000e+04,8.204151988029479980e-01,0.000000000000000000e+00
1.634500000000000000e+04,3.117000000000000000e+03,9.493926167488098145e-01,1.000000000000000000e+00
3.782000000000000000e+03,2.078400000000000000e+04,9.739272594451904297e-01,1.000000000000000000e+00
1.308400000000000000e+04,2.289000000000000000e+04,7.656991481781005859e-01,0.000000000000000000e+00
9.337000000000000000e+03,5.558000000000000000e+03,8.540905714035034180e-01,0.000000000000000000e+00
2.485000000000000000e+04,4.787000000000000000e+03,7.996489405632019043e-01,0.000000000000000000e+00
2.005400000000000000e+04,1.571000000000000000e+03,9.923508167266845703e-01,1.000000000000000000e+00
1.116400000000000000e+04,1.293900000000000000e+04,8.692544698715209961e-01,1.000000000000000000e+00
5.479000000000000000e+03,1.470900000000000000e+04,9.574741125106811523e-01,0.000000000000000000e+00
1.634500000000000000e+04,5.639000000000000000e+03,9.494184255599975586e-01,1.000000000000000000e+00
2.200400000000000000e+04,1.488200000000000000e+04,8.885855078697204590e-01,1.000000000000000000e+00
1.552600000000000000e+04,4.630000000000000000e+02,8.577221632003784180e-01,1.000000000000000000e+00
2.883000000000000000e+03,2.592900000000000000e+04,8.549610376358032227e-01,1.000000000000000000e+00
