disease1,disease2,similarity,label
3.922000000000000000e+03,1.297000000000000000e+04,9.623779058456420898e-01,0.000000000000000000e+00
1.575000000000000000e+04,2.976100000000000000e+04,9.868737459182739258e-01,1.000000000000000000e+00
9.970000000000000000e+02,5.639000000000000000e+03,9.981490373611450195e-01,1.000000000000000000e+00
2.005400000000000000e+04,5.475000000000000000e+03,9.997784495353698730e-01,1.000000000000000000e+00
1.373800000000000000e+04,4.029000000000000000e+03,9.918586611747741699e-01,0.000000000000000000e+00
1.622500000000000000e+04,1.066100000000000000e+04,9.711881875991821289e-01,0.000000000000000000e+00
2.322500000000000000e+04,5.475000000000000000e+03,9.997781515121459961e-01,1.000000000000000000e+00
2.322500000000000000e+04,1.844200000000000000e+04,9.998621940612792969e-01,1.000000000000000000e+00
7.393000000000000000e+03,1.667800000000000000e+04,9.444057941436767578e-01,0.000000000000000000e+00
7.158000000000000000e+03,6.949000000000000000e+03,9.994649291038513184e-01,1.000000000000000000e+00
7.049000000000000000e+03,6.698000000000000000e+03,9.995369911193847656e-01,0.000000000000000000e+00
1.594600000000000000e+04,7.840000000000000000e+03,9.997122287750244141e-01,1.000000000000000000e+00
1.882000000000000000e+03,3.372000000000000000e+03,9.659414887428283691e-01,0.000000000000000000e+00
2.011600000000000000e+04,1.193300000000000000e+04,9.835556149482727051e-01,0.000000000000000000e+00
3.075000000000000000e+03,1.738400000000000000e+04,9.720172286033630371e-01,1.000000000000000000e+00
1.568800000000000000e+04,2.257400000000000000e+04,9.978358745574951172e-01,1.000000000000000000e+00
8.606000000000000000e+03,2.257400000000000000e+04,9.948964715003967285e-01,1.000000000000000000e+00
7.391000000000000000e+03,2.133400000000000000e+04,9.977682232856750488e-01,1.000000000000000000e+00
2.322500000000000000e+04,7.158000000000000000e+03,9.996434450149536133e-01,1.000000000000000000e+00
1.955100000000000000e+04,1.826000000000000000e+03,9.879043102264404297e-01,0.000000000000000000e+00
2.168000000000000000e+03,3.848000000000000000e+03,9.952489733695983887e-01,0.000000000000000000e+00
2.641700000000000000e+04,2.322500000000000000e+04,9.922707080841064453e-01,0.000000000000000000e+00
9.970000000000000000e+02,2.061900000000000000e+04,9.982684850692749023e-01,1.000000000000000000e+00
1.399100000000000000e+04,2.414400000000000000e+04,9.994950294494628906e-01,1.000000000000000000e+00
1.210200000000000000e+04,9.572000000000000000e+03,9.986740350723266602e-01,1.000000000000000000e+00
8.581000000000000000e+03,2.333300000000000000e+04,9.998490214347839355e-01,1.000000000000000000e+00
1.159200000000000000e+04,2.638600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00
8.116000000000000000e+03,9.970000000000000000e+02,9.980834722518920898e-01,1.000000000000000000e+00
2.099900000000000000e+04,2.517400000000000000e+04,9.966032505035400391e-01,0.000000000000000000e+00
6.949000000000000000e+03,2.573500000000000000e+04,9.997168779373168945e-01,1.000000000000000000e+00
2.562600000000000000e+04,1.069000000000000000e+03,9.937268495559692383e-01,0.000000000000000000e+00
1.625400000000000000e+04,2.633100000000000000e+04,9.997118115425109863e-01,1.000000000000000000e+00
1.210200000000000000e+04,1.484900000000000000e+04,9.950105547904968262e-01,1.000000000000000000e+00
2.376000000000000000e+04,1.790700000000000000e+04,9.881265163421630859e-01,0.000000000000000000e+00
1.907900000000000000e+04,2.040000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.562800000000000000e+04,6.249000000000000000e+03,9.919283986091613770e-01,0.000000000000000000e+00
8.606000000000000000e+03,4.952000000000000000e+03,9.981902837753295898e-01,1.000000000000000000e+00
2.978200000000000000e+04,2.070100000000000000e+04,9.977288246154785156e-01,0.000000000000000000e+00
2.592900000000000000e+04,6.034000000000000000e+03,9.999148249626159668e-01,1.000000000000000000e+00
2.393200000000000000e+04,2.668600000000000000e+04,9.999425411224365234e-01,1.000000000000000000e+00
2.965000000000000000e+03,1.270900000000000000e+04,9.922024011611938477e-01,0.000000000000000000e+00
1.096400000000000000e+04,4.604000000000000000e+03,9.921031594276428223e-01,0.000000000000000000e+00
2.486000000000000000e+03,2.475700000000000000e+04,9.984529018402099609e-01,1.000000000000000000e+00
1.870000000000000000e+02,1.338000000000000000e+03,9.827536344528198242e-01,0.000000000000000000e+00
1.568800000000000000e+04,4.952000000000000000e+03,9.916875362396240234e-01,1.000000000000000000e+00
2.275900000000000000e+04,6.211000000000000000e+03,9.987051486968994141e-01,1.000000000000000000e+00
1.621600000000000000e+04,2.250200000000000000e+04,9.966539740562438965e-01,0.000000000000000000e+00
7.582000000000000000e+03,5.756000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.486000000000000000e+03,2.588900000000000000e+04,9.962424039840698242e-01,1.000000000000000000e+00
1.642400000000000000e+04,1.408200000000000000e+04,9.963226318359375000e-01,0.000000000000000000e+00
1.488200000000000000e+04,2.573500000000000000e+04,9.997377395629882812e-01,1.000000000000000000e+00
2.503500000000000000e+04,2.572400000000000000e+04,9.983127713203430176e-01,1.000000000000000000e+00
2.517700000000000000e+04,2.130100000000000000e+04,9.982104897499084473e-01,0.000000000000000000e+00
1.260000000000000000e+03,1.189200000000000000e+04,9.921290278434753418e-01,0.000000000000000000e+00
2.061900000000000000e+04,1.310800000000000000e+04,9.995780587196350098e-01,1.000000000000000000e+00
2.955500000000000000e+04,1.778500000000000000e+04,9.980967044830322266e-01,0.000000000000000000e+00
1.634500000000000000e+04,3.117000000000000000e+03,9.876334667205810547e-01,1.000000000000000000e+00
3.782000000000000000e+03,2.078400000000000000e+04,9.999680519104003906e-01,1.000000000000000000e+00
1.308400000000000000e+04,2.289000000000000000e+04,9.885667562484741211e-01,0.000000000000000000e+00
9.337000000000000000e+03,5.558000000000000000e+03,9.865386486053466797e-01,0.000000000000000000e+00
2.485000000000000000e+04,4.787000000000000000e+03,9.850654602050781250e-01,0.000000000000000000e+00
2.005400000000000000e+04,1.571000000000000000e+03,9.995833635330200195e-01,1.000000000000000000e+00
1.116400000000000000e+04,1.293900000000000000e+04,9.779814481735229492e-01,1.000000000000000000e+00
5.479000000000000000e+03,1.470900000000000000e+04,9.981740713119506836e-01,0.000000000000000000e+00
1.634500000000000000e+04,5.639000000000000000e+03,9.817714691162109375e-01,1.000000000000000000e+00
2.200400000000000000e+04,1.488200000000000000e+04,9.997445940971374512e-01,1.000000000000000000e+00
1.552600000000000000e+04,4.630000000000000000e+02,9.908391833305358887e-01,1.000000000000000000e+00
2.883000000000000000e+03,2.592900000000000000e+04,9.995385408401489258e-01,1.000000000000000000e+00
9.919000000000000000e+03,1.024700000000000000e+04,9.975456595420837402e-01,1.000000000000000000e+00
2.486000000000000000e+03,2.047900000000000000e+04,9.996963143348693848e-01,1.000000000000000000e+00
1.490300000000000000e+04,4.611000000000000000e+03,9.912438392639160156e-01,0.000000000000000000e+00
1.634500000000000000e+04,7.674000000000000000e+03,9.750063419342041016e-01,1.000000000000000000e+00
