disease1,disease2,similarity,label
3.922000000000000000e+03,1.297000000000000000e+04,6.623730659484863281e-01,0.000000000000000000e+00
1.575000000000000000e+04,2.976100000000000000e+04,9.157189130783081055e-01,1.000000000000000000e+00
9.970000000000000000e+02,5.639000000000000000e+03,9.505929946899414062e-01,1.000000000000000000e+00
2.005400000000000000e+04,5.475000000000000000e+03,9.900509715080261230e-01,1.000000000000000000e+00
1.373800000000000000e+04,4.029000000000000000e+03,9.726064801216125488e-01,0.000000000000000000e+00
1.622500000000000000e+04,1.066100000000000000e+04,8.240137100219726562e-01,0.000000000000000000e+00
2.322500000000000000e+04,5.475000000000000000e+03,9.950395822525024414e-01,1.000000000000000000e+00
2.322500000000000000e+04,1.844200000000000000e+04,9.954124689102172852e-01,1.000000000000000000e+00
7.393000000000000000e+03,1.667800000000000000e+04,8.974832892417907715e-01,0.000000000000000000e+00
7.158000000000000000e+03,6.949000000000000000e+03,9.738047122955322266e-01,1.000000000000000000e+00
7.049000000000000000e+03,6.698000000000000000e+03,9.834491014480590820e-01,0.000000000000000000e+00
1.594600000000000000e+04,7.840000000000000000e+03,9.898304343223571777e-01,1.000000000000000000e+00
1.882000000000000000e+03,3.372000000000000000e+03,7.730719447135925293e-01,0.000000000000000000e+00
2.011600000000000000e+04,1.193300000000000000e+04,8.272534012794494629e-01,0.000000000000000000e+00
3.075000000000000000e+03,1.738400000000000000e+04,8.241685628890991211e-01,1.000000000000000000e+00
1.568800000000000000e+04,2.257400000000000000e+04,9.876366853713989258e-01,1.000000000000000000e+00
8.606000000000000000e+03,2.257400000000000000e+04,9.331517219543457031e-01,1.000000000000000000e+00
7.391000000000000000e+03,2.133400000000000000e+04,9.839335680007934570e-01,1.000000000000000000e+00
2.322500000000000000e+04,7.158000000000000000e+03,9.884101152420043945e-01,1.000000000000000000e+00
1.955100000000000000e+04,1.826000000000000000e+03,9.793415665626525879e-01,0.000000000000000000e+00
2.168000000000000000e+03,3.848000000000000000e+03,8.849623799324035645e-01,0.000000000000000000e+00
2.641700000000000000e+04,2.322500000000000000e+04,9.812374114990234375e-01,0.000000000000000000e+00
