disease1,disease2,similarity,label
3.922000000000000000e+03,1.297000000000000000e+04,8.360251188278198242e-01,0.000000000000000000e+00
1.575000000000000000e+04,2.976100000000000000e+04,9.725869894027709961e-01,1.000000000000000000e+00
9.970000000000000000e+02,5.639000000000000000e+03,9.761124849319458008e-01,1.000000000000000000e+00
2.005400000000000000e+04,5.475000000000000000e+03,9.814502000808715820e-01,1.000000000000000000e+00
1.373800000000000000e+04,4.029000000000000000e+03,8.863870501518249512e-01,0.000000000000000000e+00
1.622500000000000000e+04,1.066100000000000000e+04,9.457638263702392578e-01,0.000000000000000000e+00
2.322500000000000000e+04,5.475000000000000000e+03,9.481691122055053711e-01,1.000000000000000000e+00
2.322500000000000000e+04,1.844200000000000000e+04,9.585146903991699219e-01,1.000000000000000000e+00
7.393000000000000000e+03,1.667800000000000000e+04,9.173920154571533203e-01,0.000000000000000000e+00
7.158000000000000000e+03,6.949000000000000000e+03,9.074607491493225098e-01,1.000000000000000000e+00
7.049000000000000000e+03,6.698000000000000000e+03,8.625371456146240234e-01,0.000000000000000000e+00
1.594600000000000000e+04,7.840000000000000000e+03,9.818902015686035156e-01,1.000000000000000000e+00
1.882000000000000000e+03,3.372000000000000000e+03,4.434553384780883789e-01,0.000000000000000000e+00
2.011600000000000000e+04,1.193300000000000000e+04,7.838103771209716797e-01,0.000000000000000000e+00
3.075000000000000000e+03,1.738400000000000000e+04,9.295427203178405762e-01,1.000000000000000000e+00
1.568800000000000000e+04,2.257400000000000000e+04,8.377713561058044434e-01,1.000000000000000000e+00
8.606000000000000000e+03,2.257400000000000000e+04,9.225623607635498047e-01,1.000000000000000000e+00
7.391000000000000000e+03,2.133400000000000000e+04,9.702000617980957031e-01,1.000000000000000000e+00
2.322500000000000000e+04,7.158000000000000000e+03,9.922686219215393066e-01,1.000000000000000000e+00
1.955100000000000000e+04,1.826000000000000000e+03,9.677246809005737305e-01,0.000000000000000000e+00
2.168000000000000000e+03,3.848000000000000000e+03,8.563815951347351074e-01,0.000000000000000000e+00
2.641700000000000000e+04,2.322500000000000000e+04,9.634956717491149902e-01,0.000000000000000000e+00
9.970000000000000000e+02,2.061900000000000000e+04,8.128594756126403809e-01,1.000000000000000000e+00
1.399100000000000000e+04,2.414400000000000000e+04,9.364758133888244629e-01,1.000000000000000000e+00
1.210200000000000000e+04,9.572000000000000000e+03,9.002808928489685059e-01,1.000000000000000000e+00
8.581000000000000000e+03,2.333300000000000000e+04,9.955799579620361328e-01,1.000000000000000000e+00
1.159200000000000000e+04,2.638600000000000000e+04,7.675166130065917969e-01,0.000000000000000000e+00
8.116000000000000000e+03,9.970000000000000000e+02,8.308411836624145508e-01,1.000000000000000000e+00
2.099900000000000000e+04,2.517400000000000000e+04,8.854432106018066406e-01,0.000000000000000000e+00
6.949000000000000000e+03,2.573500000000000000e+04,9.393430948257446289e-01,1.000000000000000000e+00
2.562600000000000000e+04,1.069000000000000000e+03,8.752338290214538574e-01,0.000000000000000000e+00
1.625400000000000000e+04,2.633100000000000000e+04,9.908351302146911621e-01,1.000000000000000000e+00
1.210200000000000000e+04,1.484900000000000000e+04,9.823648929595947266e-01,1.000000000000000000e+00
2.376000000000000000e+04,1.790700000000000000e+04,8.148802518844604492e-01,0.000000000000000000e+00
1.907900000000000000e+04,2.040000000000000000e+04,8.978962898254394531e-01,0.000000000000000000e+00
2.562800000000000000e+04,6.249000000000000000e+03,5.862928032875061035e-01,0.000000000000000000e+00
8.606000000000000000e+03,4.952000000000000000e+03,9.820606112480163574e-01,1.000000000000000000e+00
2.978200000000000000e+04,2.070100000000000000e+04,9.208302497863769531e-01,0.000000000000000000e+00
2.592900000000000000e+04,6.034000000000000000e+03,9.940067529678344727e-01,1.000000000000000000e+00
2.393200000000000000e+04,2.668600000000000000e+04,9.300590753555297852e-01,1.000000000000000000e+00
2.965000000000000000e+03,1.270900000000000000e+04,9.744150042533874512e-01,0.000000000000000000e+00
1.096400000000000000e+04,4.604000000000000000e+03,8.767473697662353516e-01,0.000000000000000000e+00
2.486000000000000000e+03,2.475700000000000000e+04,9.144487977027893066e-01,1.000000000000000000e+00
1.870000000000000000e+02,1.338000000000000000e+03,9.191320538520812988e-01,0.000000000000000000e+00
1.568800000000000000e+04,4.952000000000000000e+03,9.903651475906372070e-01,1.000000000000000000e+00
2.275900000000000000e+04,6.211000000000000000e+03,9.840228557586669922e-01,1.000000000000000000e+00
1.621600000000000000e+04,2.250200000000000000e+04,7.443490028381347656e-01,0.000000000000000000e+00
7.582000000000000000e+03,5.756000000000000000e+03,9.845653772354125977e-01,0.000000000000000000e+00
2.486000000000000000e+03,2.588900000000000000e+04,9.812709093093872070e-01,1.000000000000000000e+00
1.642400000000000000e+04,1.408200000000000000e+04,9.104174375534057617e-01,0.000000000000000000e+00
1.488200000000000000e+04,2.573500000000000000e+04,9.945945739746093750e-01,1.000000000000000000e+00
2.503500000000000000e+04,2.572400000000000000e+04,9.802342653274536133e-01,1.000000000000000000e+00
2.517700000000000000e+04,2.130100000000000000e+04,9.324752688407897949e-01,0.000000000000000000e+00
1.260000000000000000e+03,1.189200000000000000e+04,9.253759384155273438e-01,0.000000000000000000e+00
2.061900000000000000e+04,1.310800000000000000e+04,9.878237247467041016e-01,1.000000000000000000e+00
2.955500000000000000e+04,1.778500000000000000e+04,6.096456646919250488e-01,0.000000000000000000e+00
1.634500000000000000e+04,3.117000000000000000e+03,9.857987165451049805e-01,1.000000000000000000e+00
3.782000000000000000e+03,2.078400000000000000e+04,9.711026549339294434e-01,1.000000000000000000e+00
1.308400000000000000e+04,2.289000000000000000e+04,6.967457532882690430e-01,0.000000000000000000e+00
9.337000000000000000e+03,5.558000000000000000e+03,8.807140588760375977e-01,0.000000000000000000e+00
2.485000000000000000e+04,4.787000000000000000e+03,8.915157318115234375e-01,0.000000000000000000e+00
2.005400000000000000e+04,1.571000000000000000e+03,9.986985921859741211e-01,1.000000000000000000e+00
1.116400000000000000e+04,1.293900000000000000e+04,8.838827610015869141e-01,1.000000000000000000e+00
5.479000000000000000e+03,1.470900000000000000e+04,9.608348011970520020e-01,0.000000000000000000e+00
1.634500000000000000e+04,5.639000000000000000e+03,9.947774410247802734e-01,1.000000000000000000e+00
2.200400000000000000e+04,1.488200000000000000e+04,9.394506812095642090e-01,1.000000000000000000e+00
1.552600000000000000e+04,4.630000000000000000e+02,9.099920988082885742e-01,1.000000000000000000e+00
2.883000000000000000e+03,2.592900000000000000e+04,8.237295150756835938e-01,1.000000000000000000e+00
9.919000000000000000e+03,1.024700000000000000e+04,9.640514254570007324e-01,1.000000000000000000e+00
2.486000000000000000e+03,2.047900000000000000e+04,9.098512530326843262e-01,1.000000000000000000e+00
