recall,precision
1.000000000000000000e+00,5.657978385251112297e-01
1.000000000000000000e+00,5.661577608142494000e-01
1.000000000000000000e+00,5.665181413112666542e-01
1.000000000000000000e+00,5.668789808917197304e-01
9.988764044943819753e-01,5.666029318036965856e-01
9.988764044943819753e-01,5.669642857142856984e-01
9.988764044943819753e-01,5.673261008296107688e-01
9.988764044943819753e-01,5.676883780332055984e-01
9.988764044943819753e-01,5.680511182108626267e-01
9.988764044943819753e-01,5.684143222506393700e-01
9.988764044943819753e-01,5.687779910428663044e-01
9.988764044943819753e-01,5.691421254801536378e-01
9.988764044943819753e-01,5.695067264573990817e-01
9.988764044943819753e-01,5.698717948717948456e-01
9.988764044943819753e-01,5.702373316228351863e-01
9.988764044943819753e-01,5.706033376123235135e-01
9.988764044943819753e-01,5.709698137443802723e-01
9.988764044943819753e-01,5.713367609254498269e-01
9.988764044943819753e-01,5.717041800643086757e-01
9.988764044943819753e-01,5.720720720720721131e-01
9.988764044943819753e-01,5.724404378622022227e-01
9.977528089887640617e-01,5.721649484536082131e-01
9.977528089887640617e-01,5.725338491295938192e-01
9.977528089887640617e-01,5.729032258064515881e-01
9.977528089887640617e-01,5.732730794060684198e-01
9.977528089887640617e-01,5.736434108527131981e-01
9.977528089887640617e-01,5.740142210730445615e-01
9.977528089887640617e-01,5.743855109961190086e-01
9.977528089887640617e-01,5.747572815533980028e-01
9.977528089887640617e-01,5.751295336787565216e-01
9.977528089887640617e-01,5.755022683084899393e-01
9.977528089887640617e-01,5.758754863813229097e-01
9.977528089887640617e-01,5.762491888384165817e-01
9.977528089887640617e-01,5.766233766233765934e-01
9.977528089887640617e-01,5.769980506822611765e-01
9.977528089887640617e-01,5.773732119635890392e-01
9.977528089887640617e-01,5.777488614183474702e-01
9.977528089887640617e-01,5.781250000000000000e-01
9.977528089887640617e-01,5.785016286644950601e-01
9.977528089887640617e-01,5.788787483702737546e-01
9.977528089887640617e-01,5.792563600782778543e-01
9.977528089887640617e-01,5.796344647519582338e-01
9.977528089887640617e-01,5.800130633572828653e-01
9.977528089887640617e-01,5.803921568627451455e-01
9.977528089887640617e-01,5.807717462393721108e-01
9.977528089887640617e-01,5.811518324607329866e-01
9.977528089887640617e-01,5.815324165029469583e-01
9.977528089887640617e-01,5.819134993446920534e-01
9.977528089887640617e-01,5.822950819672131351e-01
9.977528089887640617e-01,5.826771653543306728e-01
9.977528089887640617e-01,5.830597504924490693e-01
9.977528089887640617e-01,5.834428383705650978e-01
9.977528089887640617e-01,5.838264299802761181e-01
9.977528089887640617e-01,5.842105263157895134e-01
9.977528089887640617e-01,5.845951283739302395e-01
9.966292134831460370e-01,5.843214756258234832e-01
9.966292134831460370e-01,5.847066578773896239e-01
9.966292134831460370e-01,5.850923482849603730e-01
9.966292134831460370e-01,5.854785478547854805e-01
9.955056179775281233e-01,5.852047556142668805e-01
9.955056179775281233e-01,5.855915399867812621e-01
9.955056179775281233e-01,5.859788359788359324e-01
9.955056179775281233e-01,5.863666446062210102e-01
9.955056179775281233e-01,5.867549668874172397e-01
9.955056179775281233e-01,5.871438038436049833e-01
9.955056179775281233e-01,5.875331564986737698e-01
9.955056179775281233e-01,5.879230258792302877e-01
9.943820224719100986e-01,5.876494023904382802e-01
9.943820224719100986e-01,5.880398671096345176e-01
9.943820224719100986e-01,5.884308510638297518e-01
9.943820224719100986e-01,5.888223552894211732e-01
9.943820224719100986e-01,5.892143808255658755e-01
9.943820224719100986e-01,5.896069287141905146e-01
9.943820224719100986e-01,5.899999999999999689e-01
9.943820224719100986e-01,5.903935957304869975e-01
9.943820224719100986e-01,5.907877169559412334e-01
9.943820224719100986e-01,5.911823647294589534e-01
9.943820224719100986e-01,5.915775401069518491e-01
9.932584269662921850e-01,5.913043478260869845e-01
9.932584269662921850e-01,5.917001338688085976e-01
9.932584269662921850e-01,5.920964501004688518e-01
9.932584269662921850e-01,5.924932975871313179e-01
9.932584269662921850e-01,5.928906773977196121e-01
9.932584269662921850e-01,5.932885906040268331e-01
9.932584269662921850e-01,5.936870382807253321e-01
9.932584269662921850e-01,5.940860215053763715e-01
9.932584269662921850e-01,5.944855413584397841e-01
9.932584269662921850e-01,5.948855989232839647e-01
9.932584269662921850e-01,5.952861952861953077e-01
9.932584269662921850e-01,5.956873315363880872e-01
9.932584269662921850e-01,5.960890087660147829e-01
9.932584269662921850e-01,5.964912280701754055e-01
9.932584269662921850e-01,5.968939905469277107e-01
9.932584269662921850e-01,5.972972972972973027e-01
9.932584269662921850e-01,5.977011494252874035e-01
9.932584269662921850e-01,5.981055480378890676e-01
9.932584269662921850e-01,5.985104942450913956e-01
9.932584269662921850e-01,5.989159891598916374e-01
9.932584269662921850e-01,5.993220338983050732e-01
9.932584269662921850e-01,5.997286295793758937e-01
