fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,1.123595505617977627e-03,9.999999403953552246e-01
0.000000000000000000e+00,3.033707865168539311e-02,9.978924989700317383e-01
1.464128843338213803e-03,3.033707865168539311e-02,9.978354573249816895e-01
1.464128843338213803e-03,3.483146067415730102e-02,9.975700378417968750e-01
2.928257686676427607e-03,3.483146067415730102e-02,9.974876642227172852e-01
2.928257686676427607e-03,5.393258426966292263e-02,9.967584013938903809e-01
4.392386530014641410e-03,5.393258426966292263e-02,9.966607093811035156e-01
4.392386530014641410e-03,5.505617977528089874e-02,9.966541528701782227e-01
5.856515373352855214e-03,5.505617977528089874e-02,9.965635538101196289e-01
5.856515373352855214e-03,5.955056179775281011e-02,9.964308142662048340e-01
8.784773060029282821e-03,5.955056179775281011e-02,9.963110685348510742e-01
8.784773060029282821e-03,6.067415730337078622e-02,9.962818622589111328e-01
1.024890190336749662e-02,6.067415730337078622e-02,9.962792992591857910e-01
1.024890190336749662e-02,8.764044943820224753e-02,9.952260255813598633e-01
1.171303074670571043e-02,8.764044943820224753e-02,9.951698780059814453e-01
1.171303074670571043e-02,9.775280898876403946e-02,9.945244789123535156e-01
1.317715959004392423e-02,9.775280898876403946e-02,9.944866895675659180e-01
1.317715959004392423e-02,1.011235955056179747e-01,9.943157434463500977e-01
1.464128843338213803e-02,1.011235955056179747e-01,9.943115711212158203e-01
1.464128843338213803e-02,1.033707865168539269e-01,9.942177534103393555e-01
1.610541727672035184e-02,1.033707865168539269e-01,9.942038655281066895e-01
1.610541727672035184e-02,1.089887640449438144e-01,9.939451217651367188e-01
1.756954612005856564e-02,1.089887640449438144e-01,9.939140081405639648e-01
1.756954612005856564e-02,1.157303370786516850e-01,9.936435222625732422e-01
1.903367496339677944e-02,1.157303370786516850e-01,9.936402440071105957e-01
1.903367496339677944e-02,1.202247191011235894e-01,9.934833049774169922e-01
2.196193265007320705e-02,1.202247191011235894e-01,9.932969212532043457e-01
2.196193265007320705e-02,1.258426966292134908e-01,9.931910037994384766e-01
2.342606149341142086e-02,1.258426966292134908e-01,9.931874275207519531e-01
2.342606149341142086e-02,1.314606741573033644e-01,9.928836822509765625e-01
2.489019033674963466e-02,1.314606741573033644e-01,9.928688406944274902e-01
2.489019033674963466e-02,1.325842696629213613e-01,9.928427934646606445e-01
2.635431918008784846e-02,1.325842696629213613e-01,9.928340315818786621e-01
2.635431918008784846e-02,1.359550561797752688e-01,9.927744269371032715e-01
2.781844802342606227e-02,1.359550561797752688e-01,9.927074909210205078e-01
2.781844802342606227e-02,1.370786516853932657e-01,9.926964640617370605e-01
2.928257686676427607e-02,1.370786516853932657e-01,9.926851987838745117e-01
2.928257686676427607e-02,1.449438202247191054e-01,9.924426078796386719e-01
3.074670571010248987e-02,1.449438202247191054e-01,9.924163222312927246e-01
3.074670571010248987e-02,1.460674157303370746e-01,9.923787117004394531e-01
3.221083455344070368e-02,1.460674157303370746e-01,9.923779964447021484e-01
3.221083455344070368e-02,1.505617977528089790e-01,9.922418594360351562e-01
3.367496339677891748e-02,1.505617977528089790e-01,9.921784400939941406e-01
3.367496339677891748e-02,1.539325842696629143e-01,9.920836091041564941e-01
3.660322108345534509e-02,1.539325842696629143e-01,9.918438196182250977e-01
3.660322108345534509e-02,1.573033707865168496e-01,9.916292428970336914e-01
3.806734992679355889e-02,1.573033707865168496e-01,9.915876388549804688e-01
3.806734992679355889e-02,1.606741573033707848e-01,9.913358092308044434e-01
3.953147877013177269e-02,1.606741573033707848e-01,9.913255572319030762e-01
3.953147877013177269e-02,1.640449438202247201e-01,9.912872910499572754e-01
4.099560761346998650e-02,1.640449438202247201e-01,9.912434816360473633e-01
4.099560761346998650e-02,1.651685393258426893e-01,9.911944866180419922e-01
4.245973645680820030e-02,1.651685393258426893e-01,9.911535382270812988e-01
4.245973645680820030e-02,1.662921348314606862e-01,9.911466836929321289e-01
4.392386530014641410e-02,1.662921348314606862e-01,9.910999536514282227e-01
4.392386530014641410e-02,1.764044943820224642e-01,9.904726147651672363e-01
4.538799414348462791e-02,1.764044943820224642e-01,9.904206991195678711e-01
4.538799414348462791e-02,1.775280898876404612e-01,9.903894662857055664e-01
4.685212298682284171e-02,1.775280898876404612e-01,9.903339147567749023e-01
4.685212298682284171e-02,1.786516853932584303e-01,9.902151823043823242e-01
4.831625183016105551e-02,1.786516853932584303e-01,9.902007579803466797e-01
4.831625183016105551e-02,1.797752808988763995e-01,9.900892376899719238e-01
4.978038067349926932e-02,1.797752808988763995e-01,9.899024963378906250e-01
4.978038067349926932e-02,1.842696629213483039e-01,9.897552728652954102e-01
5.124450951683748312e-02,1.842696629213483039e-01,9.896667003631591797e-01
5.124450951683748312e-02,1.876404494382022392e-01,9.896287918090820312e-01
5.270863836017569692e-02,1.876404494382022392e-01,9.895378351211547852e-01
5.270863836017569692e-02,1.921348314606741436e-01,9.893928766250610352e-01
5.710102489019033833e-02,1.921348314606741436e-01,9.891926050186157227e-01
5.710102489019033833e-02,1.932584269662921406e-01,9.891641139984130859e-01
6.149341142020497974e-02,1.932584269662921406e-01,9.890228509902954102e-01
6.149341142020497974e-02,1.943820224719101097e-01,9.889665842056274414e-01
6.295754026354319355e-02,1.943820224719101097e-01,9.889442920684814453e-01
6.295754026354319355e-02,1.955056179775280789e-01,9.889142513275146484e-01
6.442166910688140735e-02,1.955056179775280789e-01,9.889135360717773438e-01
6.442166910688140735e-02,1.966292134831460758e-01,9.888291358947753906e-01
6.588579795021962116e-02,1.966292134831460758e-01,9.888173341751098633e-01
6.588579795021962116e-02,2.000000000000000111e-01,9.886527061462402344e-01
6.881405563689604876e-02,2.000000000000000111e-01,9.885333776473999023e-01
6.881405563689604876e-02,2.033707865168539464e-01,9.884196519851684570e-01
7.027818448023426257e-02,2.033707865168539464e-01,9.884129762649536133e-01
7.027818448023426257e-02,2.056179775280898847e-01,9.883634448051452637e-01
7.174231332357247637e-02,2.056179775280898847e-01,9.883552193641662598e-01
7.174231332357247637e-02,2.067415730337078539e-01,9.883208274841308594e-01
7.467057101024890398e-02,2.067415730337078539e-01,9.881505966186523438e-01
7.467057101024890398e-02,2.089887640449438200e-01,9.881197214126586914e-01
7.613469985358711778e-02,2.089887640449438200e-01,9.881020784378051758e-01
7.613469985358711778e-02,2.123595505617977552e-01,9.880209565162658691e-01
7.759882869692533158e-02,2.123595505617977552e-01,9.878704547882080078e-01
7.759882869692533158e-02,2.157303370786516905e-01,9.877784252166748047e-01
7.906295754026354539e-02,2.157303370786516905e-01,9.877614974975585938e-01
7.906295754026354539e-02,2.168539325842696597e-01,9.877411127090454102e-01
8.052708638360175919e-02,2.168539325842696597e-01,9.877365827560424805e-01
8.052708638360175919e-02,2.179775280898876288e-01,9.877040982246398926e-01
8.199121522693997299e-02,2.179775280898876288e-01,9.876216650009155273e-01
8.199121522693997299e-02,2.213483146067415641e-01,9.876114130020141602e-01
8.345534407027818680e-02,2.213483146067415641e-01,9.875767230987548828e-01
8.345534407027818680e-02,2.247191011235954994e-01,9.875079989433288574e-01
8.491947291361640060e-02,2.247191011235954994e-01,9.873658418655395508e-01
8.491947291361640060e-02,2.325842696629213391e-01,9.869660139083862305e-01
8.784773060029282821e-02,2.325842696629213391e-01,9.867834448814392090e-01
8.784773060029282821e-02,2.337078651685393360e-01,9.867527484893798828e-01
8.931185944363104201e-02,2.337078651685393360e-01,9.867180585861206055e-01
8.931185944363104201e-02,2.370786516853932713e-01,9.865965247154235840e-01
9.077598828696925581e-02,2.370786516853932713e-01,9.865022897720336914e-01
9.077598828696925581e-02,2.415730337078651757e-01,9.864553213119506836e-01
9.370424597364568342e-02,2.415730337078651757e-01,9.862939119338989258e-01
9.370424597364568342e-02,2.449438202247191110e-01,9.861962795257568359e-01
9.516837481698389722e-02,2.449438202247191110e-01,9.861721992492675781e-01
9.516837481698389722e-02,2.460674157303370801e-01,9.861553907394409180e-01
9.663250366032211103e-02,2.460674157303370801e-01,9.860504269599914551e-01
9.663250366032211103e-02,2.494382022471910154e-01,9.857645034790039062e-01
9.809663250366032483e-02,2.494382022471910154e-01,9.855438470840454102e-01
