fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,1.123595505617977627e-03,1.000000119209289551e+00
0.000000000000000000e+00,4.269662921348314766e-02,9.936977624893188477e-01
1.464128843338213803e-03,4.269662921348314766e-02,9.936771392822265625e-01
1.464128843338213803e-03,5.617977528089887485e-02,9.931008219718933105e-01
2.928257686676427607e-03,5.617977528089887485e-02,9.930284619331359863e-01
2.928257686676427607e-03,9.662921348314607028e-02,9.898113608360290527e-01
4.392386530014641410e-03,9.662921348314607028e-02,9.895334243774414062e-01
4.392386530014641410e-03,1.123595505617977497e-01,9.886446595191955566e-01
5.856515373352855214e-03,1.123595505617977497e-01,9.886109828948974609e-01
5.856515373352855214e-03,1.134831460674157327e-01,9.883678555488586426e-01
7.320644216691069017e-03,1.134831460674157327e-01,9.882650971412658691e-01
7.320644216691069017e-03,2.056179775280898847e-01,9.817683696746826172e-01
7.320644216691069017e-03,2.078651685393258508e-01,9.812951683998107910e-01
7.320644216691069017e-03,2.134831460674157244e-01,9.811199903488159180e-01
8.784773060029282821e-03,2.134831460674157244e-01,9.811165332794189453e-01
8.784773060029282821e-03,2.179775280898876288e-01,9.808205366134643555e-01
1.024890190336749662e-02,2.179775280898876288e-01,9.807700514793395996e-01
1.024890190336749662e-02,2.258426966292134963e-01,9.802833199501037598e-01
1.024890190336749662e-02,2.303370786516854007e-01,9.801945686340332031e-01
1.024890190336749662e-02,2.337078651685393360e-01,9.801346063613891602e-01
1.171303074670571043e-02,2.337078651685393360e-01,9.800834059715270996e-01
1.171303074670571043e-02,2.471910112359550493e-01,9.794093966484069824e-01
1.317715959004392423e-02,2.471910112359550493e-01,9.791911840438842773e-01
1.317715959004392423e-02,2.550561797752808890e-01,9.789708852767944336e-01
1.464128843338213803e-02,2.550561797752808890e-01,9.788926839828491211e-01
1.464128843338213803e-02,2.764044943820224698e-01,9.779402613639831543e-01
1.610541727672035184e-02,2.764044943820224698e-01,9.779295921325683594e-01
1.610541727672035184e-02,2.853932584269662787e-01,9.774075150489807129e-01
1.756954612005856564e-02,2.853932584269662787e-01,9.774040579795837402e-01
1.756954612005856564e-02,2.887640449438202417e-01,9.772942066192626953e-01
1.903367496339677944e-02,2.887640449438202417e-01,9.772537946701049805e-01
1.903367496339677944e-02,2.932584269662921184e-01,9.770617485046386719e-01
2.049780380673499325e-02,2.932584269662921184e-01,9.770308136940002441e-01
2.049780380673499325e-02,3.067415730337078594e-01,9.766376018524169922e-01
2.196193265007320705e-02,3.067415730337078594e-01,9.766159057617187500e-01
2.196193265007320705e-02,3.078651685393258286e-01,9.764208793640136719e-01
2.342606149341142086e-02,3.078651685393258286e-01,9.763435125350952148e-01
2.342606149341142086e-02,3.123595505617977608e-01,9.761959910392761230e-01
2.489019033674963466e-02,3.123595505617977608e-01,9.761937856674194336e-01
2.489019033674963466e-02,3.157303370786516683e-01,9.760005474090576172e-01
2.635431918008784846e-02,3.157303370786516683e-01,9.759526848793029785e-01
2.635431918008784846e-02,3.179775280898876622e-01,9.758766889572143555e-01
2.928257686676427607e-02,3.179775280898876622e-01,9.756855368614196777e-01
2.928257686676427607e-02,3.292134831460674094e-01,9.748480319976806641e-01
3.074670571010248987e-02,3.292134831460674094e-01,9.748333692550659180e-01
3.074670571010248987e-02,3.426966292134831504e-01,9.740514755249023438e-01
3.513909224011713128e-02,3.426966292134831504e-01,9.739073514938354492e-01
3.513909224011713128e-02,3.438202247191011196e-01,9.737282991409301758e-01
3.660322108345534509e-02,3.438202247191011196e-01,9.736990332603454590e-01
3.660322108345534509e-02,3.471910112359550826e-01,9.735535383224487305e-01
3.806734992679355889e-02,3.471910112359550826e-01,9.734640121459960938e-01
3.806734992679355889e-02,3.516853932584269593e-01,9.732198715209960938e-01
3.953147877013177269e-02,3.516853932584269593e-01,9.730473756790161133e-01
3.953147877013177269e-02,3.528089887640449285e-01,9.729989767074584961e-01
4.099560761346998650e-02,3.528089887640449285e-01,9.729090929031372070e-01
4.099560761346998650e-02,3.539325842696628976e-01,9.729050397872924805e-01
4.245973645680820030e-02,3.539325842696628976e-01,9.728829860687255859e-01
4.245973645680820030e-02,3.561797752808988915e-01,9.726911783218383789e-01
4.392386530014641410e-02,3.561797752808988915e-01,9.726910591125488281e-01
4.392386530014641410e-02,3.595505617977527990e-01,9.724864959716796875e-01
4.685212298682284171e-02,3.595505617977527990e-01,9.723592996597290039e-01
