fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,1.123595505617977627e-03,9.999997615814208984e-01
0.000000000000000000e+00,7.865168539325843172e-03,9.983768463134765625e-01
1.464128843338213803e-03,7.865168539325843172e-03,9.983124136924743652e-01
1.464128843338213803e-03,2.921348314606741700e-02,9.953803420066833496e-01
2.928257686676427607e-03,2.921348314606741700e-02,9.953023195266723633e-01
2.928257686676427607e-03,3.483146067415730102e-02,9.948546290397644043e-01
4.392386530014641410e-03,3.483146067415730102e-02,9.948539137840270996e-01
4.392386530014641410e-03,3.820224719101123628e-02,9.948071241378784180e-01
5.856515373352855214e-03,3.820224719101123628e-02,9.946979284286499023e-01
5.856515373352855214e-03,4.157303370786517155e-02,9.943492412567138672e-01
7.320644216691069017e-03,4.157303370786517155e-02,9.941285252571105957e-01
7.320644216691069017e-03,5.280898876404494652e-02,9.930682182312011719e-01
8.784773060029282821e-03,5.280898876404494652e-02,9.928662776947021484e-01
8.784773060029282821e-03,5.617977528089887485e-02,9.926355481147766113e-01
1.024890190336749662e-02,5.617977528089887485e-02,9.926309585571289062e-01
1.024890190336749662e-02,6.067415730337078622e-02,9.923377037048339844e-01
1.171303074670571043e-02,6.067415730337078622e-02,9.922919273376464844e-01
1.171303074670571043e-02,6.966292134831460203e-02,9.913265705108642578e-01
1.317715959004392423e-02,6.966292134831460203e-02,9.912970066070556641e-01
1.317715959004392423e-02,7.191011235955056813e-02,9.910919666290283203e-01
1.464128843338213803e-02,7.191011235955056813e-02,9.909185171127319336e-01
1.464128843338213803e-02,7.977528089887640783e-02,9.905257225036621094e-01
1.610541727672035184e-02,7.977528089887640783e-02,9.905122518539428711e-01
1.610541727672035184e-02,8.539325842696629532e-02,9.896584749221801758e-01
1.756954612005856564e-02,8.539325842696629532e-02,9.896310567855834961e-01
1.756954612005856564e-02,9.775280898876403946e-02,9.886753559112548828e-01
1.903367496339677944e-02,9.775280898876403946e-02,9.886701107025146484e-01
1.903367496339677944e-02,1.134831460674157327e-01,9.868056178092956543e-01
2.049780380673499325e-02,1.134831460674157327e-01,9.866765141487121582e-01
2.049780380673499325e-02,1.157303370786516850e-01,9.862679243087768555e-01
2.196193265007320705e-02,1.157303370786516850e-01,9.862349033355712891e-01
2.196193265007320705e-02,1.191011235955056202e-01,9.859611988067626953e-01
2.342606149341142086e-02,1.191011235955056202e-01,9.856752157211303711e-01
2.342606149341142086e-02,1.303370786516853952e-01,9.842566251754760742e-01
2.489019033674963466e-02,1.303370786516853952e-01,9.842099547386169434e-01
2.489019033674963466e-02,1.314606741573033644e-01,9.841374158859252930e-01
2.635431918008784846e-02,1.314606741573033644e-01,9.840055704116821289e-01
2.635431918008784846e-02,1.426966292134831393e-01,9.827216267585754395e-01
2.781844802342606227e-02,1.426966292134831393e-01,9.826729893684387207e-01
2.781844802342606227e-02,1.460674157303370746e-01,9.825001358985900879e-01
2.928257686676427607e-02,1.460674157303370746e-01,9.824418425559997559e-01
2.928257686676427607e-02,1.471910112359550438e-01,9.821479320526123047e-01
3.074670571010248987e-02,1.471910112359550438e-01,9.821454286575317383e-01
3.074670571010248987e-02,1.573033707865168496e-01,9.812679290771484375e-01
3.513909224011713128e-02,1.573033707865168496e-01,9.812133908271789551e-01
3.513909224011713128e-02,1.617977528089887540e-01,9.811617136001586914e-01
3.660322108345534509e-02,1.617977528089887540e-01,9.810830354690551758e-01
3.660322108345534509e-02,1.629213483146067509e-01,9.806544184684753418e-01
3.806734992679355889e-02,1.629213483146067509e-01,9.806049466133117676e-01
3.806734992679355889e-02,1.662921348314606862e-01,9.804872870445251465e-01
3.953147877013177269e-02,1.662921348314606862e-01,9.804342389106750488e-01
3.953147877013177269e-02,1.707865168539325906e-01,9.797985553741455078e-01
4.392386530014641410e-02,1.707865168539325906e-01,9.797109365463256836e-01
4.392386530014641410e-02,1.797752808988763995e-01,9.791998863220214844e-01
4.538799414348462791e-02,1.797752808988763995e-01,9.789574146270751953e-01
4.538799414348462791e-02,1.887640449438202361e-01,9.784052968025207520e-01
4.685212298682284171e-02,1.887640449438202361e-01,9.784001111984252930e-01
4.685212298682284171e-02,1.910112359550561745e-01,9.783689379692077637e-01
4.831625183016105551e-02,1.910112359550561745e-01,9.781894087791442871e-01
4.831625183016105551e-02,1.955056179775280789e-01,9.775645136833190918e-01
5.124450951683748312e-02,1.955056179775280789e-01,9.773646593093872070e-01
5.124450951683748312e-02,2.044943820224719155e-01,9.769663810729980469e-01
5.270863836017569692e-02,2.044943820224719155e-01,9.769256114959716797e-01
5.270863836017569692e-02,2.067415730337078539e-01,9.769136309623718262e-01
5.417276720351391073e-02,2.067415730337078539e-01,9.768946766853332520e-01
5.417276720351391073e-02,2.101123595505617891e-01,9.767744541168212891e-01
5.563689604685212453e-02,2.101123595505617891e-01,9.767227172851562500e-01
5.563689604685212453e-02,2.191011235955056258e-01,9.759438633918762207e-01
5.710102489019033833e-02,2.191011235955056258e-01,9.758154749870300293e-01
5.710102489019033833e-02,2.202247191011235949e-01,9.757645726203918457e-01
5.856515373352855214e-02,2.202247191011235949e-01,9.757246375083923340e-01
5.856515373352855214e-02,2.213483146067415641e-01,9.755333662033081055e-01
6.002928257686676594e-02,2.213483146067415641e-01,9.752042889595031738e-01
6.002928257686676594e-02,2.269662921348314655e-01,9.745296835899353027e-01
6.295754026354319355e-02,2.269662921348314655e-01,9.743943214416503906e-01
6.295754026354319355e-02,2.280898876404494346e-01,9.743821620941162109e-01
6.442166910688140735e-02,2.280898876404494346e-01,9.743597507476806641e-01
6.442166910688140735e-02,2.314606741573033699e-01,9.742654561996459961e-01
6.588579795021962116e-02,2.314606741573033699e-01,9.742311835289001465e-01
6.588579795021962116e-02,2.348314606741573052e-01,9.740138053894042969e-01
6.734992679355783496e-02,2.348314606741573052e-01,9.740120172500610352e-01
6.734992679355783496e-02,2.382022471910112404e-01,9.738900661468505859e-01
6.881405563689604876e-02,2.382022471910112404e-01,9.737142920494079590e-01
6.881405563689604876e-02,2.460674157303370801e-01,9.727561473846435547e-01
7.027818448023426257e-02,2.460674157303370801e-01,9.727550148963928223e-01
7.027818448023426257e-02,2.494382022471910154e-01,9.723628163337707520e-01
7.759882869692533158e-02,2.494382022471910154e-01,9.722211360931396484e-01
7.759882869692533158e-02,2.505617977528090123e-01,9.720784425735473633e-01
7.906295754026354539e-02,2.505617977528090123e-01,9.720427393913269043e-01
7.906295754026354539e-02,2.528089887640449507e-01,9.718176126480102539e-01
8.199121522693997299e-02,2.528089887640449507e-01,9.718055725097656250e-01
8.199121522693997299e-02,2.629213483146067287e-01,9.707245826721191406e-01
8.345534407027818680e-02,2.629213483146067287e-01,9.706519842147827148e-01
8.345534407027818680e-02,2.674157303370786609e-01,9.704504013061523438e-01
8.491947291361640060e-02,2.674157303370786609e-01,9.703944921493530273e-01
8.491947291361640060e-02,2.696629213483145993e-01,9.700734615325927734e-01
8.784773060029282821e-02,2.696629213483145993e-01,9.700222611427307129e-01
8.784773060029282821e-02,2.707865168539325684e-01,9.698747992515563965e-01
8.931185944363104201e-02,2.707865168539325684e-01,9.698132872581481934e-01
8.931185944363104201e-02,2.730337078651685623e-01,9.696056246757507324e-01
9.224011713030746962e-02,2.730337078651685623e-01,9.695227146148681641e-01
9.224011713030746962e-02,2.752808988764045006e-01,9.693569540977478027e-01
9.370424597364568342e-02,2.752808988764045006e-01,9.691650867462158203e-01
9.370424597364568342e-02,2.786516853932584081e-01,9.690510630607604980e-01
9.663250366032211103e-02,2.786516853932584081e-01,9.689570665359497070e-01
9.663250366032211103e-02,2.797752808988763773e-01,9.689320325851440430e-01
9.809663250366032483e-02,2.797752808988763773e-01,9.685124158859252930e-01
9.809663250366032483e-02,2.853932584269662787e-01,9.678154587745666504e-01
