recall,precision
1.000000000000000000e+00,5.657978385251112297e-01
9.921348314606741603e-01,6.244695898161244374e-01
9.921348314606741603e-01,6.249115357395612635e-01
9.921348314606741603e-01,6.253541076487252326e-01
9.921348314606741603e-01,6.257973068745570355e-01
9.921348314606741603e-01,6.262411347517730098e-01
9.921348314606741603e-01,6.266855926188786841e-01
9.921348314606741603e-01,6.271306818181817677e-01
9.921348314606741603e-01,6.275764036958066949e-01
9.921348314606741603e-01,6.280227596017069480e-01
9.921348314606741603e-01,6.284697508896797125e-01
9.921348314606741603e-01,6.289173789173788665e-01
9.921348314606741603e-01,6.293656450463293028e-01
9.921348314606741603e-01,6.298145506419401407e-01
9.921348314606741603e-01,6.302640970735189363e-01
9.921348314606741603e-01,6.307142857142856718e-01
9.921348314606741603e-01,6.311651179413867441e-01
9.921348314606741603e-01,6.316165951359083985e-01
9.921348314606741603e-01,6.320687186828919391e-01
9.921348314606741603e-01,6.325214899713467176e-01
9.921348314606741603e-01,6.329749103942652333e-01
9.921348314606741603e-01,6.334289813486370102e-01
9.921348314606741603e-01,6.338837042354630302e-01
9.921348314606741603e-01,6.343390804597701660e-01
9.921348314606741603e-01,6.347951114306255027e-01
9.921348314606741603e-01,6.352517985611511042e-01
9.921348314606741603e-01,6.357091432685385568e-01
9.921348314606741603e-01,6.361671469740634022e-01
9.921348314606741603e-01,6.366258111031002365e-01
9.921348314606741603e-01,6.370851370851370321e-01
9.921348314606741603e-01,6.375451263537905700e-01
9.910112359550561356e-01,6.372832369942196262e-01
9.910112359550561356e-01,6.377440347071583471e-01
9.910112359550561356e-01,6.382054992764110146e-01
9.910112359550561356e-01,6.386676321506155052e-01
9.898876404494382220e-01,6.384057971014492905e-01
9.898876404494382220e-01,6.388687454677302036e-01
9.898876404494382220e-01,6.393323657474601074e-01
9.898876404494382220e-01,6.397966594045025879e-01
9.898876404494382220e-01,6.402616279069767158e-01
9.887640449438201973e-01,6.400000000000000133e-01
9.887640449438201973e-01,6.404657933042212647e-01
9.887640449438201973e-01,6.409322651128914750e-01
9.887640449438201973e-01,6.413994169096209896e-01
9.887640449438201973e-01,6.418672501823486920e-01
9.887640449438201973e-01,6.423357664233576569e-01
9.887640449438201973e-01,6.428049671292914713e-01
9.887640449438201973e-01,6.432748538011695549e-01
9.876404494382022836e-01,6.430138990490124051e-01
9.876404494382022836e-01,6.434846266471448972e-01
9.876404494382022836e-01,6.439560439560439997e-01
9.876404494382022836e-01,6.444281524926686044e-01
9.876404494382022836e-01,6.449009537784299306e-01
9.876404494382022836e-01,6.453744493392070680e-01
9.876404494382022836e-01,6.458486407053637413e-01
9.876404494382022836e-01,6.463235294117647411e-01
9.876404494382022836e-01,6.467991169977924670e-01
9.876404494382022836e-01,6.472754050073638021e-01
9.865168539325842589e-01,6.470154753131908132e-01
9.865168539325842589e-01,6.474926253687315336e-01
9.865168539325842589e-01,6.479704797047970422e-01
9.865168539325842589e-01,6.484490398818315571e-01
9.865168539325842589e-01,6.489283074648928284e-01
