fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,1.123595505617977627e-03,1.000000000000000000e+00
0.000000000000000000e+00,6.741573033707865328e-03,9.997602701187133789e-01
0.000000000000000000e+00,8.988764044943821016e-03,9.997554421424865723e-01
0.000000000000000000e+00,5.842696629213483400e-02,9.987964034080505371e-01
1.464128843338213803e-03,5.842696629213483400e-02,9.987662434577941895e-01
1.464128843338213803e-03,7.528089887640448952e-02,9.985018372535705566e-01
2.928257686676427607e-03,7.528089887640448952e-02,9.984802007675170898e-01
2.928257686676427607e-03,1.606741573033707848e-01,9.968436956405639648e-01
4.392386530014641410e-03,1.606741573033707848e-01,9.968178272247314453e-01
4.392386530014641410e-03,1.629213483146067509e-01,9.967736601829528809e-01
5.856515373352855214e-03,1.629213483146067509e-01,9.967731833457946777e-01
5.856515373352855214e-03,2.157303370786516905e-01,9.957355856895446777e-01
7.320644216691069017e-03,2.157303370786516905e-01,9.957209229469299316e-01
7.320644216691069017e-03,2.292134831460674038e-01,9.955398440361022949e-01
7.320644216691069017e-03,2.314606741573033699e-01,9.954668879508972168e-01
7.320644216691069017e-03,2.505617977528090123e-01,9.951022267341613770e-01
8.784773060029282821e-03,2.505617977528090123e-01,9.950762987136840820e-01
8.784773060029282821e-03,2.775280898876404390e-01,9.944802522659301758e-01
1.024890190336749662e-02,2.775280898876404390e-01,9.944774508476257324e-01
1.024890190336749662e-02,2.808988764044944020e-01,9.944540262222290039e-01
1.171303074670571043e-02,2.808988764044944020e-01,9.944401383399963379e-01
1.171303074670571043e-02,2.853932584269662787e-01,9.943463802337646484e-01
1.317715959004392423e-02,2.853932584269662787e-01,9.943217039108276367e-01
1.317715959004392423e-02,3.191011235955056313e-01,9.934958815574645996e-01
1.464128843338213803e-02,3.191011235955056313e-01,9.934843182563781738e-01
1.464128843338213803e-02,3.303370786516853785e-01,9.931715130805969238e-01
1.610541727672035184e-02,3.303370786516853785e-01,9.931610226631164551e-01
1.610541727672035184e-02,3.483146067415730518e-01,9.927307963371276855e-01
1.756954612005856564e-02,3.483146067415730518e-01,9.927261471748352051e-01
1.756954612005856564e-02,3.651685393258427004e-01,9.924682974815368652e-01
1.903367496339677944e-02,3.651685393258427004e-01,9.924563169479370117e-01
1.903367496339677944e-02,3.741573033707865092e-01,9.921684265136718750e-01
2.049780380673499325e-02,3.741573033707865092e-01,9.921680688858032227e-01
2.049780380673499325e-02,4.067415730337078927e-01,9.914813637733459473e-01
2.196193265007320705e-02,4.067415730337078927e-01,9.914654493331909180e-01
2.196193265007320705e-02,4.123595505617977386e-01,9.912363290786743164e-01
2.635431918008784846e-02,4.123595505617977386e-01,9.911413192749023438e-01
2.635431918008784846e-02,4.213483146067415475e-01,9.907955527305603027e-01
2.781844802342606227e-02,4.213483146067415475e-01,9.907953739166259766e-01
2.781844802342606227e-02,4.348314606741572885e-01,9.904459714889526367e-01
3.221083455344070368e-02,4.348314606741572885e-01,9.903926849365234375e-01
3.221083455344070368e-02,4.494382022471909988e-01,9.900413751602172852e-01
3.367496339677891748e-02,4.494382022471909988e-01,9.899823665618896484e-01
3.367496339677891748e-02,4.662921348314606473e-01,9.896094799041748047e-01
3.513909224011713128e-02,4.662921348314606473e-01,9.895942807197570801e-01
3.513909224011713128e-02,4.752808988764045117e-01,9.894117116928100586e-01
3.660322108345534509e-02,4.752808988764045117e-01,9.893598556518554688e-01
3.660322108345534509e-02,4.898876404494382220e-01,9.888097047805786133e-01
3.806734992679355889e-02,4.898876404494382220e-01,9.887533187866210938e-01
3.806734992679355889e-02,5.022471910112359383e-01,9.882947206497192383e-01
3.953147877013177269e-02,5.022471910112359383e-01,9.882595539093017578e-01
3.953147877013177269e-02,5.067415730337078150e-01,9.880737066268920898e-01
4.099560761346998650e-02,5.067415730337078150e-01,9.880542755126953125e-01
4.099560761346998650e-02,5.123595505617977164e-01,9.879834651947021484e-01
4.392386530014641410e-02,5.123595505617977164e-01,9.879013299942016602e-01
